Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0257675137807607,0.0796050443245808,-0.175628019545647,0,0,0,0.785611266228412,0.00232144892683997,-9.66646964514512E-11,-4.20494584573273E-08,0.00080951343845414,1.56915024952233E-09,0.00185284070302783,0,0,0,0,0,0,package://humanoid_robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/base_link.STL,,abdomen_Part6-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Hip_Left,-0.0460948855629927,-0.000633404978639895,-0.00500000000000012,0,0,0,0.0422229905543193,4.93377000514569E-06,3.11505363475902E-08,6.62459006159288E-20,5.21975537437076E-05,-4.09365328062258E-21,5.64276072396147E-05,0,0,0,0,0,0,package://humanoid_robot/meshes/Hip_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Hip_Left.STL,,MirrorThigh-2,Origin_Hip_Left,Axis_Hip_Left,Hip_Left,revolute,0.0256999382475379,0.160395069157203,-0.215655780010445,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Knee_Left,-4.8664868527365E-05,-0.0246824334106513,-0.00499999999999981,0,0,0,0.0168509680282285,5.153181833797E-06,4.40205832346456E-10,-1.31172147913639E-22,1.31447726658588E-06,-6.53540583782931E-21,6.18680963324574E-06,0,0,0,0,0,0,package://humanoid_robot/meshes/Knee_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Knee_Left.STL,,MirrorCalf-2,Origin_Knee_Left,Axis_Knee_Left,Knee_Left,revolute,-0.0986752770548977,-0.000568888973472317,0,3.14159265358979,0,1.5707963267949,Hip_Left,0,0,1,0,0,0,0,,,,,,,,
Ankle_Left,-4.85722573273506E-17,-0.026168972506569,-0.00500000000000009,0,0,0,0.0134465241739722,3.27982399083559E-06,4.61357713440384E-22,-1.03779060109383E-22,8.27884077523161E-07,-3.66089069550645E-21,3.88359933212588E-06,0,0,0,0,0,0,package://humanoid_robot/meshes/Ankle_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Ankle_Left.STL,,MirrorAnkle-3,Origin_Ankle_Left,Axis_Ankle_Left,Ankle_Left,revolute,-4.7606485263807E-05,-0.0515048052790201,-0.00999999999999979,0,0,0,Knee_Left,0,0,1,0,0,0,0,,,,,,,,
Wheel_Left,-4.5102810375397E-17,-2.22044604925031E-16,0.00998934280639424,0,0,0,0.0565989332470737,1.46157549265244E-05,3.44282493996932E-36,-2.99330981616354E-21,1.46157549265244E-05,-1.38054631500737E-20,2.54470010250422E-05,0,0,0,0,0,0,package://humanoid_robot/meshes/Wheel_Left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Wheel_Left.STL,,Mirrorwheel_Part1-3,Origin_Wheel_Left,Axis_Wheel_Left,Wheel_Left,revolute,0,-0.0387878119117543,0,0,0,0,Ankle_Left,0,0,1,0,0,0,0,,,,,,,,
Hip_Right,-0.0460948855629925,-0.000633404978640062,0.00500000000000025,0,0,0,0.0422229905543193,4.93377000514569E-06,3.11505363475843E-08,6.33782229539982E-20,5.21975537437076E-05,-3.91242557518173E-21,5.64276072396146E-05,0,0,0,0,0,0,package://humanoid_robot/meshes/Hip_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Hip_Right.STL,,Thigh-1,Origin_Hip_Right,Axis_Hip_Right,Hip_Right,revolute,0.025699938247538,-0.000395069157203428,-0.215655780010445,1.5707963267949,-1.5707963267949,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Knee_Right,-4.86648685273372E-05,-0.0246824334106512,0.00499999999999978,0,0,0,0.0168509680282285,5.153181833797E-06,4.40205832347895E-10,-2.12776475579533E-22,1.31447726658588E-06,-7.25275645325394E-22,6.18680963324574E-06,0,0,0,0,0,0,package://humanoid_robot/meshes/Knee_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Knee_Right.STL,,Calf-1,Origin_Knee_Right,Axis_Knee_Right,Knee_Right,revolute,-0.0986752770548977,-0.000568888973472133,0,-3.14159265358979,0,1.5707963267949,Hip_Right,0,0,1,0,0,0,0,,,,,,,,
Ankle_Right,-6.93889390390723E-18,-0.0261689725065688,0.00500000000000006,0,0,0,0.0134465241739722,3.27982399083559E-06,-1.44093027665656E-22,-1.88594420629261E-22,8.27884077523161E-07,-4.86816421096848E-23,3.88359933212588E-06,0,0,0,0,0,0,package://humanoid_robot/meshes/Ankle_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Ankle_Right.STL,,Ankle-1,Origin_Ankle_Right,Axis_Ankle_Right,Ankle_Right,revolute,-4.76064852637931E-05,-0.0515048052790201,0.00999999999999971,0,0,0,Knee_Right,0,0,1,0,0,0,0,,,,,,,,
Wheel_Right,6.93889390390723E-18,5.55111512312578E-17,-0.00998934280639425,0,0,0,0.0565989332470737,1.46157549265244E-05,1.51539884361911E-39,-2.49944348994177E-21,1.46157549265244E-05,-2.53193302136511E-21,2.54470010250422E-05,0,0,0,0,0,0,package://humanoid_robot/meshes/Wheel_Right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Wheel_Right.STL,,wheel_Part1-2,Origin_Wheel_Right,Axis_Wheel_Right,Wheel_Right,revolute,0,-0.0387878119117543,0,0,0,0,Ankle_Right,0,0,1,0,0,0,0,,,,,,,,
Abdomen,-0.000471679762693758,0.0510698900204962,-1.13481784427827E-07,0,0,0,0.785611266228412,0.00232144892683997,-4.20494584573232E-08,9.66646965340222E-11,0.00185284070302783,-1.56915024964279E-09,0.000809513438454139,0,0,0,0,0,0,package://humanoid_robot/meshes/Abdomen.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://humanoid_robot/meshes/Abdomen.STL,,abdomen_Part6-1,Coordinate System19,Axis16,Waist,revolute,0.0256701058289113,0.08,-0.126697909566144,1.5707963267949,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
